State,Test Score
Utah,166
New Hampshire,165
Vermont,163
Minnesota,162
Massachusetts,162
Montana,161
North Dakota,161
South Dakota,160
Idaho,160
Wyoming,160
Nebraska,160
Maine,160
Virginia,160
Missouri,159
Iowa,159
Wisconsin,159
Kentucky,157
Ohio,157
Washington,157
Oregon,156
Tennessee,156
Texas,156
Indiana,156
New Jersey,156
Kansas,155
Michigan,155
Connecticut,155
Maryland,155
Florida,153
Georgia,152
South Carolina,151
Oklahoma,151
Rhode Island,151
North Carolina,150
Illinois,150
West Virginia,150
New York,150
Delaware,149
Nevada,149
Arkansas,148
Arizona,148
Hawaii,144
New Mexico,143
California,143
Alabama,141
Mississippi,140
Puerto Rico,
Pennsylvania,
Louisiana,
District of Columbia,
Colorado,
Alaska,
