State,Graduation Rate
Alabama,0.90
Alaska,0.79
Arizona,0.79
Arkansas,0.89
California,0.83
Colorado,0.81
Connecticut,0.88
Delaware,0.87
District of Columbia,0.69
Florida,0.86
Georgia,0.82
Hawaii,0.85
Idaho,0.81
Illinois,0.87
Indiana,0.88
Iowa,0.91
Kansas,0.87
Kentucky,0.90
Louisiana,0.81
Maine,0.87
Maryland,0.87
Massachusetts,0.88
Michigan,0.81
Minnesota,0.83
Mississippi,0.84
Missouri,0.89
Montana,0.86
Nebraska,0.89
Nevada,0.83
New Hampshire,0.89
New Jersey,0.91
New Mexico,0.74
New York,0.82
North Carolina,0.86
North Dakota,0.88
Ohio,0.82
Oklahoma,0.82
Oregon,0.79
Pennsylvania,0.86
Rhode Island,0.84
South Carolina,0.81
South Dakota,0.84
Tennessee,0.90
Texas,0.90
Utah,0.87
Vermont,0.85
Virginia,0.88
Washington,0.87
West Virginia,0.90
Wisconsin,0.90
Wyoming,0.82
